1 Q0 42920
1 P0 10263
1 SP 130406
1 FF 145790
1 DI 22770
1 CC 26353
1 DD 3341
1 VM 72673
1 AO 3313
1 DA 99616
1 WW 4655
1 VA 17163
1 VS 16184
1 II 23
1 ZZ 28188
1 CS 10508
1 DT 53
1 DR 115
1 DP 20
1 PR 11423
1 AQ 46277
1 PP 5577
1 PT 265
1 PX 7594
1 NC 155454
1 RG 21482
1 PD 889
1 NP 101253
1 RN 2787
1 PI 1618
2 P0 us -7.44454100442
2 NP Adrall -11.5253776142
2 ZZ 13.730 -10.2466516344
2 NC parelles -10.0081949978
2 NC devallada -11.9541051469
2 NP Taules -10.139083253
2 VM acabaria -8.89114011227
2 NP Bittis -10.8322304336
2 NP Grup_Local -11.5253776142
2 NP Alcalde_de_Calataiud -11.5253776142
2 NC habitant -10.8554928582
2 ZZ 4200-6 -10.2466516344
2 NP ApJ -9.44593607248
2 NC antifascismo -11.9541051469
2 NP Tavertet -11.5253776142
2 VM retalla -11.1937252053
2 NC versos -9.00966616774
2 WW Diumenge_18_de_Novembre_del_2007 -8.44569718971
2 NC nomenament -8.95837287335
2 RG preferiblament -9.97497065416
2 NC fagot -11.9541051469
2 VM format_part -10.5005780247
2 NP Dramatikerstipendium -11.5253776142
2 NP Gran_Alemanya -11.5253776142
2 NP Life -9.44593607248
2 NC tracte -9.46919849711
2 NC desacomplexats -11.9541051469
2 NC amnicola -10.8554928582
2 NC plebs -8.31651898718
2 NP Paulí_II -11.5253776142
2 VM descansarà -11.1937252053
2 VM fidanzata -11.1937252053
2 NP RNGC -11.5253776142
2 NP Nobel_Kary_Mullis -11.5253776142
2 AQ vesical -10.7424003564
2 VM motoritzar -11.1937252053
2 WW 3_de_desembre_de_2004 -8.44569718971
2 VM presencia -8.99650062793
2 ZZ 33è -9.55350445389
2 AQ intern -7.85202859849
2 NC entreteniment -10.0081949978
2 NP Pirineu_Oriental -11.5253776142
2 NP Williams_Ellis -11.5253776142
2 NP Panaítolos -11.5253776142
2 NP Copes_Intercontinentals -10.8322304336
2 NP Waregem -11.5253776142
2 NP Dr._Mu -11.5253776142
2 NP Madeira -9.91593970173
2 ZZ C-31D -10.2466516344
2 VM fitxava -11.1937252053
2 NC wushanensis -10.8554928582
2 NP Ángela_Labordeta -11.5253776142
2 AQ beneit -10.7424003564
2 NP Theorien -11.5253776142
2 NC anticipació -11.9541051469
2 ZZ 0.01 -10.2466516344
2 VM embarcar -9.24781505621
2 VM embarcat -10.5005780247
2 NP Sagunt -9.5794674651
2 VM consumar -11.1937252053
2 VM aconseguint -7.79252782361
2 VM Definia -11.1937252053
2 ZZ T-733 -10.2466516344
2 NP Jaume_el_Conqueridor -11.5253776142
2 VM Marx -11.1937252053
2 NP Saski_Baskonia -11.5253776142
2 NC esperances -10.8554928582
2 VM Definit -11.1937252053
2 NC pollastres -11.9541051469
2 NP Trdat -11.5253776142
2 NC trinxeres -7.89366213636
2 ZZ 2_cm -10.2466516344
2 ZZ un -8.86035727333
2 AO 6a -5.90838482496
2 VM obrir -7.26189957254
2 NP My_Hero -11.5253776142
2 AQ madrileny -8.95064088716
2 NP Bourrée -11.5253776142
2 VM admès -10.0951129166
2 VM obria -9.11428366359
2 NP Quart_Informe_d'_Avaluació_de_el_GIECC -11.5253776142
2 NC vespra -11.2609579663
2 NC vespre -10.0081949978
2 NC estrès -9.65152005391
2 NC sofriment -11.2609579663
2 VM clarificar -11.1937252053
2 NP Saint-Galmier -10.8322304336
2 WW 29_de_juny_de_1978 -8.44569718971
2 VM esfondra -11.1937252053
2 NP Katy_Jurado -11.5253776142
2 ZZ SO2 -10.2466516344
2 NP Albert_Mestres -11.5253776142
2 NP Khrusxov -10.8322304336
2 NP Aulide -11.5253776142
2 ZZ T-734 -10.2466516344
2 NC aficionat -9.5562098741
2 NP Guerrilleros_de_Cristo_Rey -11.5253776142
2 NP Juanito_el_Sarguero -11.5253776142
2 NP BTV_Clásica -11.5253776142
2 AQ incriminatori -10.7424003564
2 VM Documenta -11.1937252053
2 NP Manoghlu_Fakhr -11.5253776142
2 NC estats­membres -11.9541051469
2 NP Harun -11.5253776142
2 NC pilotes -11.2609579663
2 WW 8_de_setembre_de_1994 -8.44569718971
2 NC llits -10.8554928582
2 NP Josep_Antoni_Santamaría -11.5253776142
2 NP Els_Verds -11.5253776142
2 VM provoquen -9.11428366359
2 NC híbrid -11.9541051469
2 NP Roameo -11.5253776142
2 NC zònules -9.46919849711
2 RG potser -6.08315035605
2 NC sacrificador -11.9541051469
2 NP Fatarella -11.5253776142
2 NC freeware -11.9541051469
2 NC bibroni -10.8554928582
2 NC épico -11.9541051469
2 NC zigodáctilos -11.9541051469
2 NP Ptilininae_Shuckard -11.5253776142
2 NC companys -8.55290776524
2 AQ estudiós -10.7424003564
2 AQ pirenaica -10.7424003564
2 NP L_INI -11.5253776142
2 NP Stevenson -9.44593607248
2 NC companya -9.87466360522
2 RG a_traïció -9.97497065416
2 ZZ 1956-1957 -10.2466516344
2 ZZ 1956-1959 -9.14803934578
2 ZZ 4.00 -10.2466516344
2 NP Joan_VII_Paleòleg -11.5253776142
2 NC confident -10.8554928582
2 WW juny_del_1894 -8.44569718971
2 NP Mehemt_IV -11.5253776142
2 NC marqueteria -11.9541051469
2 WW juliol_del_1928 -8.44569718971
2 NC escafoide -11.9541051469
2 NP Felix_Wins -11.5253776142
2 NP Evangelista -11.5253776142
2 NP Justinià -10.4267653255
2 NP Port_Bertoni_Alt_Panamà -11.5253776142
2 NP Publicació -10.8322304336
2 VM aan -10.0951129166
2 WW juliol_de_1945 -8.44569718971
2 WW juliol_de_1944 -7.05940282859
2 WW juliol_de_1943 -7.75255000915
2 ZZ 346-351 -10.2466516344
2 WW juliol_de_1941 -8.44569718971
2 NC emperadriu -9.5562098741
2 NP Palatinus -11.5253776142
2 NP Presa_d'_Assuan -11.5253776142
2 VM ressaltades -11.1937252053
2 NP Costera -10.4267653255
2 NC obra_mestra -10.5678107858
2 NP Rambla_de_Barcelona -11.5253776142
2 AQ nombrossíssims -10.7424003564
2 NP S._Aquest -11.5253776142
2 NP Gai_Memmi_Gemel -11.5253776142
2 NP Èumenes -9.32815303682
2 NC rus -8.95837287335
2 NP Enginyeria_Aeroespacial -11.5253776142
2 NP Casal -10.4267653255
2 NP Arcangelo_Corelli -11.5253776142
2 NC ministeri -10.8554928582
2 NC patriotisme -10.5678107858
2 NC rua -11.2609579663
2 VM igualar -10.0951129166
2 NC rue -11.9541051469
2 NP Paulí_de_Nola -10.4267653255
2 NP Casas -10.8322304336
2 NC patriotismo -11.9541051469
2 NP Casat -9.73361814493
2 NP Protestantisme -11.5253776142
2 NC humits -11.9541051469
2 ZZ 37,2 -9.55350445389
2 ZZ 37,5 -10.2466516344
2 RG bullocki -9.2818234736
2 NP General_Josep_Joffre -11.5253776142
2 NP Julian_Mendelssohn -11.5253776142
2 NC esport -8.95837287335
2 VM rovellada -11.1937252053
2 NP Desordre_Badalona -11.5253776142
2 NP Noailles -11.5253776142
2 NC delphis -11.9541051469
2 NP Flandes_Zelandès -11.5253776142
2 NC bondat -10.3446672345
2 NC fil·lial -11.9541051469
2 NP Felipe_Marcos_Nieto -11.5253776142
2 NP Vila_de_Montblanc -11.5253776142
2 AQ asparagus -10.7424003564
2 WW 5_de_gener_de_1955 -8.44569718971
2 NC edifici -7.0789078237
2 NP Therisso -11.5253776142
2 NP Tebes -9.44593607248
2 NC propietària -10.3446672345
2 NC governs -8.69600860888
2 WW 9_de_setembre_de_2006 -8.44569718971
2 VM desbaratar -11.1937252053
2 AQ predictiva -10.7424003564
2 AQ diocesà -10.7424003564
2 NP Moschino -10.8322304336
2 NC orfe -11.9541051469
2 AQ sacres -10.7424003564
2 NP Bruno_Brauer -11.5253776142
2 NP S.A._de_Ediciones -11.5253776142
2 NC crims -10.1623456777
2 ZZ 183 -7.94406654145
2 ZZ 182 -8.45489216522
2 ZZ 181 -8.30074148539
2 ZZ 180 -7.20212919672
2 ZZ 187 -9.55350445389
2 ZZ 186 -7.53860143334
2 NP Berenice -11.5253776142
2 VM envià -8.55466787565
2 VM enquadre -11.1937252053
2 ZZ 189 -8.45489216522
2 ZZ 188 -9.55350445389
2 NP Jean-Philippe_Fleurian -11.5253776142
2 NP Latona -11.5253776142
2 NP Ajuntament_de_Sóller -11.5253776142
2 ZZ 23.3.1787 -10.2466516344
2 VM ikta -11.1937252053
2 NP NGC -7.91445970152
2 ZZ MiG-15bis -8.45489216522
2 NP Lommel -11.5253776142
2 VM desplegada -9.58428729283
2 NP Wufeng -11.5253776142
2 AQ sacerdotal -10.0492531758
2 VM editaven -11.1937252053
2 NC recordatori -11.9541051469
2 NC della -9.65152005391
2 NP Henry -11.5253776142
2 NP Love_Goes_On -11.5253776142
2 NC Universitat -11.9541051469
2 ZZ 18a -10.2466516344
2 NC ctra. -10.1623456777
2 NP Klein -11.5253776142
2 NC Fet -10.3446672345
2 NP María_Grifé -11.5253776142
2 VM desvatellar -11.1937252053
2 NP Manuel_Alvar -11.5253776142
2 AQ tecnològiques -10.7424003564
2 VM refermés -11.1937252053
2 NP Amago_Haruhisa -11.5253776142
2 NP Negligència -11.5253776142
2 AQ contralt -10.7424003564
2 NP Raval_de_el_Clot -10.8322304336
2 NP Pionier-Bataillon -11.5253776142
2 NP El_Latino_Americano -11.5253776142
2 NC privatarum -11.9541051469
2 VM interpretades -9.40196573604
2 NC mobilitzacions -11.9541051469
2 NP Simfonia_Asrael_de_Josef_Suk -11.5253776142
2 NP Passatgers -11.5253776142
2 NP Internet_Broadway_Database -11.5253776142
2 NP Oubliette -11.5253776142
2 NP Forsythia -11.5253776142
2 NP Agrupació_Electoral_José_María_Ruiz_Mateos -11.5253776142
2 NP Anobiinae_Kirby -11.5253776142
2 VM excomunicat -10.5005780247
2 NP Robert_Schauer -11.5253776142
2 NP Einsatzgruppen -9.22279252117
2 NC orfebre -11.2609579663
2 NP De_Portionibus -11.5253776142
2 AQ polinèsies -10.7424003564
2 NP Kurt_Student -10.8322304336
2 NP De_Articulis_Liberalis_Causae -11.5253776142
2 AQ festius -9.35610599527
2 NC infinit -10.0081949978
2 NC Àrea -10.8554928582
2 NP Alfons_VIII -10.8322304336
2 ZZ 1941i -10.2466516344
2 NP Club_Baloncesto_Gran_Canaria -11.5253776142
2 NP Pokémon_Plata -11.5253776142
2 ZZ 203,6 -9.55350445389
2 PX meu -7.32567582836
2 NP Klose -9.91593970173
2 RG linealment -9.97497065416
2 NC identitat -8.58680931692
2 NP A._Harnak -11.5253776142
2 NC contenció -10.1623456777
2 AQ primerencs -10.7424003564
2 NC màquies -11.9541051469
2 AQ portador -9.35610599527
2 AQ simultani -10.0492531758
2 NP Huanvenzhu -11.5253776142
2 NC self -11.9541051469
2 AQ primerenca -9.35610599527
2 VM procedeixen -10.5005780247
2 NP Tren -10.8322304336
2 NP Pucará_de_La_Compañía -11.5253776142
2 ZZ 1968-1979 -10.2466516344
2 NP Garrotxa -9.32815303682
2 NP Paddy_Finucane -11.5253776142
2 ZZ 220_milions -10.2466516344
2 NP Kate -8.81732741306
2 NP Affligem -11.5253776142
2 AQ contagiosa -10.7424003564
2 NC afector -11.9541051469
2 NP Bau_AG -11.5253776142
2 NP Filinna_de_Larissa -10.8322304336
2 NP Passendale -11.5253776142
2 NP Guanyadors_de_els_Premis_Oscar -11.5253776142
2 NP One_Laptop_per_Child -11.5253776142
2 NP Castell_de_Ciutadilla -11.5253776142
2 VM supervisada -10.0951129166
2 NP Morgan_Walter_Phillips -11.5253776142
2 VM exilia -10.5005780247
2 NC gòtic -10.3446672345
2 ZZ 1901 -7.84875636165
2 ZZ 1900 -7.47406291221
2 ZZ 1903 -8.04942705711
2 ZZ 1902 -7.76174498466
2 ZZ 1905 -7.47406291221
2 ZZ 1904 -7.60759430483
2 ZZ 1907 -7.60759430483
2 ZZ 1906 -8.16721009277
2 ZZ 1909 -7.30221265528
2 ZZ 1908 -7.25091936089
2 AQ bufona -10.7424003564
2 AQ contenta -10.7424003564
2 NP Ullà -11.5253776142
2 NP Escritores -11.5253776142
2 NP Sinaï -11.5253776142
2 VM curés -11.1937252053
2 RG així­ -9.97497065416
2 NP S._Rees_Dyfed -11.5253776142
2 VM habitats -11.1937252053
2 NP Jim_Zachos -11.5253776142
2 ZZ 298.678 -10.2466516344
2 NP FIRS -10.8322304336
2 NP PSG-EG -10.4267653255
2 NP BETANIA_Premios_Barco_de_Vapor -11.5253776142
2 AQ armenis -9.64378806772
2 NP Sara_Allgood -11.5253776142
2 NC camarlencs -11.2609579663
2 NP Colonia_de_el_Sacramento -11.5253776142
2 VM regentant -11.1937252053
2 NP She_Was_My_Baby -11.5253776142
2 NP Meisters -11.5253776142
2 NC vaderlands -11.9541051469
2 NP Campus_d'_Alcoi -11.5253776142
2 NP Foixà -11.5253776142
2 NP Esteve_de_Blois -11.5253776142
2 NC reichstag -11.9541051469
2 ZZ 963 -10.2466516344
2 NP Poeta_Querol -11.5253776142
2 VM diuen -8.36051186121
2 NC repulsa -11.2609579663
2 NC nus -10.1623456777
2 VM reconstruïren -11.1937252053
2 NC num -11.2609579663
2 NP Antonio_Pintor -11.5253776142
2 NP Chumbivilcas -11.5253776142
2 NP XVII_Lima -11.5253776142
2 NP ACIS -11.5253776142
2 NC melodías -11.9541051469
2 NC dinamo -11.2609579663
2 NP Presentació_de_Nelson -11.5253776142
2 NP Cap_de_Sant_Antoni -11.5253776142
2 VM Pip -9.40196573604
2 VM Percep -11.1937252053
2 NC desnivells -11.9541051469
2 ZZ R4 -9.14803934578
2 ZZ R2 -9.14803934578
2 ZZ R1 -8.86035727333
2 NC vendes -8.90958270918
2 NP Conrad -9.5794674651
2 NP Vallina -11.5253776142
2 NP Colorits -11.5253776142
2 NC lladres -10.1623456777
2 NP Trias_Fargas -11.5253776142
2 NP Girl -10.8322304336
2 NP Janícul -11.5253776142
2 NP Conrat -11.5253776142
2 NP Gabon -8.4343351608
2 NC proscriptis -11.2609579663
2 VM protegeixin -11.1937252053
2 NP Ethel_Waters -11.5253776142
2 AQ amòniques -10.7424003564
2 NP Gardevoir -10.8322304336
2 VM conrea -10.0951129166
2 VM other -11.1937252053
2 NC dogmàtics -11.9541051469
2 NP Reial_Acadèmia_Catalana_de_Belles_Arts_de_Sant_Jordi -10.8322304336
2 NP Mont_Fuji -11.5253776142
2 AQ turcs -8.95064088716
2 NC creador -9.65152005391
2 NP Internacional_Demòcrata_Cristiana -11.5253776142
2 ZZ T-342z -10.2466516344
2 NC minenwerfers -11.9541051469
2 VM reconquerí -10.5005780247
2 NP Junia_Norbana -11.5253776142
2 AQ turca -8.79649020733
2 NC nétes -11.9541051469
2 NP Armand_C -11.5253776142
2 NP Federico_Mayor_Zaragoza -11.5253776142
2 NP Sició -8.9604282567
2 NP Amadou_Karim_Gaye -11.5253776142
2 NC detriment -11.9541051469
2 NC puneño -11.9541051469
2 RG chez -9.2818234736
2 VM perfeccionar -10.0951129166
2 NP Skorupi -10.8322304336
2 NP Het_Meihef -11.5253776142
2 NP Codo -11.5253776142
2 NC nounats -10.0081949978
2 NC estat -6.59751887223
2 NC estas -10.1623456777
2 NP Codi -9.32815303682
2 VM sobraven -11.1937252053
2 NP Hidekut -11.5253776142
2 NP Convent_de_el_Pati_La_Immaculada -11.5253776142
2 NP Coda -11.5253776142
2 NP Canònica_de_Santa_Maria_de_Mur -11.5253776142
2 NC rumor -10.8554928582
2 NC circumscripció -10.8554928582
2 NP Jocs_Florals -11.5253776142
2 NP Iemen_de_el_Nord -11.5253776142
2 VM ascendeix -9.11428366359
2 NC enderrocament -11.9541051469
2 AQ violenta -8.95064088716
2 ZZ 13.7 -10.2466516344
2 NP Mark -11.5253776142
2 NP Mare -9.91593970173
2 AQ textual -10.7424003564
2 RG En_concret -9.2818234736
2 NC prefacio -11.9541051469
2 VM assetjà -11.1937252053
2 NP Marc -9.5794674651
2 AQ violents -9.64378806772
2 NP Rojo -10.139083253
2 NP Mart -8.81732741306
2 NP Mars -11.5253776142
2 NP Comtat_de_Gadsden -10.8322304336
2 VM fugien -9.80743084415
2 NP Heyer -8.05964171136
2 NP Congreso -11.5253776142
2 NP Dowaai -11.5253776142
2 NC bacteris -9.87466360522
2 AQ sagrades -10.7424003564
2 NP Marc_Pili -11.5253776142
2 NP DVCPRO_HD -10.8322304336
2 NC ròssec -11.9541051469
2 VM proposem -10.5005780247
2 WW març_de_1918 -8.44569718971
2 VM proposen -9.40196573604
2 NC empresari -8.90958270918
2 WW març_de_1914 -8.44569718971
2 WW març_de_1917 -8.44569718971
2 NP Frederic_Jordán -11.5253776142
2 AQ perillosos -9.64378806772
2 NP Advanced_CCD_Imaging_Spectrometer -11.5253776142
2 NC heràldica -11.9541051469
2 NP Ulrich_Graff -11.5253776142
2 VM abaix -11.1937252053
2 ZZ 3.465_metres -10.2466516344
2 NP Claudi_Neró -11.5253776142
2 NP Cap_d'_Esquadró_Tubby_Mermagen -11.5253776142
2 NP Andy_Irvine -11.5253776142
2 VM representen -7.89788833926
2 NP Ta'aroa -11.5253776142
2 VM pelegrinat -11.1937252053
2 NP The_Ghost -10.8322304336
2 NP Modelat -11.5253776142
2 NC mèrit -10.3446672345
2 VM emetin -11.1937252053
2 NP Gavet_de_la_Conca -10.4267653255
2 VM emetia -11.1937252053
2 VM faràs -11.1937252053
2 ZZ BV-2202 -10.2466516344
2 ZZ BV-2201 -10.2466516344
2 NP Peruzzi -11.5253776142
2 NP Santa_Maria_de_Corcó -10.4267653255
2 NC baríton -11.9541051469
2 ZZ BV-2204 -10.2466516344
2 NP Antoni_Soggiu -11.5253776142
2 NP La_Codonyera -11.5253776142
2 NP Medaller -11.5253776142
2 NP Fleicher_Studios -11.5253776142
2 NP Psophis -11.5253776142
2 NP Astèrix_el_Gal -11.5253776142
2 NP SS-Brigadeführer_Sylvester_Stadler -10.8322304336
2 NC arcadi -11.2609579663
2 VM dirigeix -8.05823098934
2 VM activen -11.1937252053
2 NP Kartoffelsalat -11.5253776142
2 NC ukiyo-e -11.2609579663
2 NP Rafael_Ninyoles -11.5253776142
2 RG personalidad -9.97497065416
2 NP Comissió_Mixta_Internacional_Argentina-Boliviana -11.5253776142
2 NC roure -10.1623456777
2 NC triple -11.9541051469
2 NP Alpina -11.5253776142
2 NC murlocs -11.9541051469
2 NP Lino_Lacedelli -11.5253776142
2 NP Bazaine -11.5253776142
2 NP Gruppe_Stemmermann -11.5253776142
2 NP Llenguatge_d'_Eines_d'_Ordre -11.5253776142
2 NP Taffert -11.5253776142
2 NP Polònia_per_Alemanya -11.5253776142
2 NP Escola_de_Joves -11.5253776142
2 ZZ 1-4-2008 -10.2466516344
2 NP De_Legende -11.5253776142
2 NC Resultat -11.2609579663
2 NP Xenophrys -7.08272635767
2 AQ xxxii -10.7424003564
2 NC align -11.2609579663
2 VM revelaven -11.1937252053
2 AQ provocatives -10.7424003564
2 NP Palmar -11.5253776142
2 NP Rethymo -11.5253776142
2 AQ intolerant -10.7424003564
2 NP Springer-Verlag -10.8322304336
2 NC borough -11.9541051469
2 NP Ramón_Vives -11.5253776142
2 NC lila -11.9541051469
2 NP Giro_de_Puglia -10.8322304336
2 NP Velleia -11.5253776142
2 NP Animals_de_el_Lutecià -11.5253776142
2 NP Torre_de_Viver -11.5253776142
2 NC interesat -11.9541051469
2 NP Lorenzo_Beteta -11.5253776142
2 NP Anals -11.5253776142
2 NC baronies -11.9541051469
2 VM masivo -11.1937252053
2 NC promovedor -11.9541051469
2 AQ resolubles -9.35610599527
2 VM reputada -11.1937252053
2 NP Biliran -10.8322304336
2 NP Anschluss -10.8322304336
2 AQ rítmica -8.54517577905
2 NC cristiandad -11.9541051469
2 NP Ani_DiFranco -11.5253776142
2 NP Polemó_Antoni -10.4267653255
2 NC cristiandat -10.8554928582
2 ZZ RNCl2 -10.2466516344
2 NP Yoshihira -10.8322304336
2 NP Erich_Mendelsohn -11.5253776142
2 NP Àsia_d'_Europa -11.5253776142
2 NP Pardo -11.5253776142
2 NC bipedisme -11.9541051469
2 AQ desiguals -9.13296244395
2 NP Pedro_Nunes -11.5253776142
2 NC sagí -11.9541051469
2 NP Puteoli -11.5253776142
2 VM ajusta -11.1937252053
2 NP Queensland -11.5253776142
2 NC pascoensis -10.8554928582
2 NC dentadura -11.9541051469
2 AQ furiosa -10.7424003564
2 AQ conservadores -10.0492531758
2 NP Steve_Allen_Show -11.5253776142
2 NP Comitè_de_Política_Monetària -11.5253776142
2 NC russe -11.9541051469
2 NP Divisió_de_Plata -11.5253776142
2 NC boops -11.9541051469
2 VM agraint -11.1937252053
2 NP Sub-batallons -11.5253776142
2 NC lora -11.9541051469
2 NP Plauci -9.22279252117
2 NC savagei -11.9541051469
2 NC lord -11.9541051469
2 NP Porta_d'_Ishtar -10.8322304336
2 NP Siracusa -8.9604282567
2 VM succeiria -11.1937252053
2 NC assatjament -11.9541051469
2 NC llaços -9.87466360522
2 NC simetria -10.5678107858
2 NC alimentarias -11.9541051469
2 VM marxaren -10.5005780247
2 NP Beverly_Sills -10.8322304336
2 VM comfortà -11.1937252053
2 NP Hockey_Club_Liceo_de_La_Coruña -11.5253776142
2 NP Gàl·lia -9.44593607248
2 NC cedendis -11.9541051469
2 AQ jerséis -10.7424003564
2 NP Pahana -10.8322304336
2 NP Sant-Pere-ad-vincula -11.5253776142
2 NC incorporacions -11.9541051469
2 VM paralitzat -11.1937252053
2 VM paralitzar -10.0951129166
2 NP Mark_Carwardine -10.4267653255
2 CS com -1.01450768268
2 VM Recolzats -11.1937252053
2 AQ esteviol -10.7424003564
2 ZZ 2100 -9.55350445389
2 NP Partit_Nacional_Liberal -10.8322304336
2 NP Diamants -11.5253776142
2 NP Padua -11.5253776142
2 PP 'ns -8.62640627639
2 NC presoners -8.29054350077
2 RG ex-Primer -9.97497065416
2 NP Lavoisier -8.81732741306
2 NP Ferdinand_Foch -11.5253776142
2 NP Padul -11.5253776142
2 NP Cambres_de_el_Parlament_de_el_Regne_Unit -11.5253776142
2 ZZ 109_kg -10.2466516344
2 VM estabilitzar -10.5005780247
2 VM estabilitzat -10.5005780247
2 NP Os_de_Balaguer -10.8322304336
2 NC Vida -11.9541051469
2 NP ScaleMinor -11.5253776142
2 NP Domicia -11.5253776142
2 NP Eubea -9.91593970173
2 NP Rufus_d'_Efes -11.5253776142
2 NP P._&_Langone -11.5253776142
2 AQ ateniense -10.7424003564
2 AQ experimental -9.13296244395
2 NP John_Black -11.5253776142
2 WW 17_de_juny_de_1986 -8.44569718971
2 NC jove -7.4002282553
2 NC rals -11.2609579663
2 NP Theodor_Eicke -10.4267653255
2 NC sostre -9.5562098741
2 NC ralo -11.9541051469
2 AQ arquivats -10.7424003564
2 AQ sociis -10.0492531758
2 AQ pesquera -10.0492531758
2 NP Regne_de_Ftia -11.5253776142
2 NP Volkswagen_Sharan -11.5253776142
2 NP Casa_de_Socors -11.5253776142
2 VM pressionar -9.24781505621
2 WW novembre_de_1439 -8.44569718971
2 NC tetraclorur -11.9541051469
2 NP Katoghiké -11.5253776142
2 AQ disposta -10.7424003564
2 VM cregué -9.80743084415
2 NC núvols -9.12089180285
2 NP Bellver_de_Cerdanya -11.5253776142
2 NP Ròmul -9.91593970173
